
Generated at: 2025/09/02 22:22:18
mirDIP version: 5.3.0.2.
Database version: 5.2.3.1



Gene Symbol     - 
Micro RNA       - hsa-miR-126-5p
Minimum Score   - Medium


Results (4872) 
Gene Symbol	Uniprot	Pseudogene	MicroRNA	Integrated Score	Number of Sources	Score Class	Sources
IAPP	P10997		hsa-miR-126-5p	0.220609693395756	6	Medium	DIANA|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
GPM6B	Q13491		hsa-miR-126-5p	0.220468701965203	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
C8orf88	P0DMB2		hsa-miR-126-5p	0.22041119605258	5	Medium	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
ZNF451	Q9Y4E5		hsa-miR-126-5p	0.220382625520057	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
MRTFB	Q9ULH7		hsa-miR-126-5p	0.220321361302375	5	Medium	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP
GFPT1	Q06210		hsa-miR-126-5p	0.220217384420431	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
PREX2	Q70Z35		hsa-miR-126-5p	0.220139638764317	3	Medium	DIANA|miranda_May_2021|MiRNATIP
FREM2	Q5SZK8		hsa-miR-126-5p	0.220119059821093	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
ANKRD20A4P	Q4UJ75	Yes	hsa-miR-126-5p	0.220065219756663	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6
SH2D1A	O60880		hsa-miR-126-5p	0.220011130446898	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
PCNX4	Q63HM2		hsa-miR-126-5p	0.219906838537604	6	Medium	bitargeting_May_2021|MBStar|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP
AGAP1	Q9UPQ3		hsa-miR-126-5p	0.21980990383659	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
NCAPG2	Q86XI2		hsa-miR-126-5p	0.219678910976604	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
USP8	P40818		hsa-miR-126-5p	0.219663511687961	7	Medium	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|RNA22
MBP	P02686		hsa-miR-126-5p	0.21962815806564	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2
PCDH11X	Q9BZA7		hsa-miR-126-5p	0.219571405769654	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
CLEC12A	Q5QGZ9		hsa-miR-126-5p	0.219568834065403	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|PACCMIT
LRRC17	Q8N6Y2		hsa-miR-126-5p	0.219567733577366	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
FAM126A	Q9BYI3		hsa-miR-126-5p	0.219463190099374	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
EPB41L4B	Q9H329		hsa-miR-126-5p	0.219451222685397	7	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag
PCDHB16	Q9NRJ7		hsa-miR-126-5p	0.219326132743076	5	Medium	DIANA|MirAncesTar|miranda_May_2021|MirTar2|mirzag
PRELID2	Q8N945		hsa-miR-126-5p	0.219292157020183	4	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021
C6orf89	Q6UWU4		hsa-miR-126-5p	0.219261630575875	4	Medium	DIANA|MirAncesTar|miranda_May_2021|mirzag
SLC39A10	Q9ULF5		hsa-miR-126-5p	0.219184696660941	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
PTCHD4	Q6ZW05		hsa-miR-126-5p	0.219160825129551	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget
TMEM106B	Q9NUM4		hsa-miR-126-5p	0.219158736841608	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
DDX43	Q9NXZ2		hsa-miR-126-5p	0.219151125623381	6	Medium	MBStar|MirAncesTar|miranda_May_2021|mirbase|miRDB_v6|mirzag
SERPINB8	P50452		hsa-miR-126-5p	0.219095621568694	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
MAP10	Q9P2G4		hsa-miR-126-5p	0.219023289587962	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
RAG1	P15918		hsa-miR-126-5p	0.218937293814712	5	Medium	DIANA|MBStar|miranda_May_2021|MirTar2|mirzag
ZDHHC2	Q9UIJ5		hsa-miR-126-5p	0.218819038401153	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
RXFP1	Q9HBX9		hsa-miR-126-5p	0.218677126702909	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP
YIPF5	Q969M3		hsa-miR-126-5p	0.218666896832483	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
NABP1	Q96AH0		hsa-miR-126-5p	0.218375565985779	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
PRDM1	O75626		hsa-miR-126-5p	0.218368042754607	7	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag|RNA22
ENO4	A6NNW6		hsa-miR-126-5p	0.218241065256783	5	Medium	MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2|mirzag
SSH1	Q8WYL5		hsa-miR-126-5p	0.218231361674527	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag|RNA22
SYT15	Q9BQS2		hsa-miR-126-5p	0.218226619901247	5	Medium	MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
EAF1	Q96JC9		hsa-miR-126-5p	0.218144749611176	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget
CFAP61	Q8NHU2		hsa-miR-126-5p	0.218139209805403	5	Medium	DIANA|MirAncesTar|miranda_May_2021|mirbase|PACCMIT
QSER1	Q2KHR3		hsa-miR-126-5p	0.218042829920067	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
TCHHL1	Q5QJ38		hsa-miR-126-5p	0.218008200574499	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|mirzag
PTH2R	P49190		hsa-miR-126-5p	0.217907417882673	7	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag|RNA22
ZNF398	Q8TD17		hsa-miR-126-5p	0.217777376368278	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
SPART	Q8N0X7		hsa-miR-126-5p	0.217558405045218	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
ACTRT3	Q9BYD9		hsa-miR-126-5p	0.217536534445823	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|mirzag
LETM2	Q2VYF4		hsa-miR-126-5p	0.217525333055801	5	Medium	bitargeting_May_2021|DIANA|MirAncesTar|miranda_May_2021|miRDB_v6
TBX3	O15119		hsa-miR-126-5p	0.21750072198783	3	Medium	Cupid|MirAncesTar|mirzag
IL18R1	Q13478		hsa-miR-126-5p	0.21734537764072	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
HOOK1	Q9UJC3		hsa-miR-126-5p	0.217241035213098	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
HNRNPD	Q14103		hsa-miR-126-5p	0.217217040097285	7	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP|mirzag
JCHAIN	P01591		hsa-miR-126-5p	0.217155995670007	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
TMPRSS11E	Q9UL52		hsa-miR-126-5p	0.21714616455767	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
OPRK1	P41145		hsa-miR-126-5p	0.217135710607608	4	Medium	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6
GRIN3A	Q8TCU5		hsa-miR-126-5p	0.21712522580884	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2
C12orf4	Q9NQ89		hsa-miR-126-5p	0.217044420756816	6	Medium	DIANA|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
SNX24	Q9Y343		hsa-miR-126-5p	0.217008269857894	5	Medium	bitargeting_May_2021|MBStar|MirAncesTar|miranda_May_2021|mirbase
BCL2L13	Q9BXK5		hsa-miR-126-5p	0.216941593784464	4	Medium	MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
CEP57L1	Q8IYX8		hsa-miR-126-5p	0.216935163184949	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
CFI	P05156		hsa-miR-126-5p	0.216693628573226	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|mirzag
METTL15	A6NJ78		hsa-miR-126-5p	0.216672998442166	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
DIMT1	Q9UNQ2		hsa-miR-126-5p	0.216497973507431	5	Medium	DIANA|MirAncesTar|miranda_May_2021|MirTar2|mirzag
KHDRBS2	Q5VWX1		hsa-miR-126-5p	0.21644721395419	5	Medium	Cupid|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
ST6GALNAC1	Q9NSC7		hsa-miR-126-5p	0.21644355503327	5	Medium	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2
EIF5A2	Q9GZV4		hsa-miR-126-5p	0.216373546006152	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
ATP6V1G2	O95670		hsa-miR-126-5p	0.216361911784885	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|mirzag
LUZP6	Q538Z0		hsa-miR-126-5p	0.216036572326237	2	Medium	Cupid|mirzag
RGS4	P49798		hsa-miR-126-5p	0.216019332707294	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6
HIVEP2	P31629		hsa-miR-126-5p	0.215980043827621	3	Medium	Cupid|MBStar|mirzag
ZNF572	Q7Z3I7		hsa-miR-126-5p	0.215956906005133	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
SBDS	Q9Y3A5		hsa-miR-126-5p	0.215885547962124	7	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP|mirzag
BEND3	Q5T5X7		hsa-miR-126-5p	0.215808135358482	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
PPP1R1C	Q8WVI7		hsa-miR-126-5p	0.215805272563274	4	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021
HS3ST3B1	Q9Y662		hsa-miR-126-5p	0.215700742746513	5	Medium	DIANA|MirAncesTar|miranda_May_2021|MirTar2|mirzag
UBR1	Q8IWV7		hsa-miR-126-5p	0.215649787897801	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
RASA2	Q15283		hsa-miR-126-5p	0.215630810472543	3	Medium	DIANA|miranda_May_2021|miRDB_v6
TIMM10B	Q9Y5J6		hsa-miR-126-5p	0.215611378156656	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
GNAL	P38405		hsa-miR-126-5p	0.215593736352343	6	Medium	MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget|mirzag
SEC14L1	Q92503		hsa-miR-126-5p	0.215580540207608	5	Medium	Cupid|DIANA|MBStar|MirAncesTar|MiRNATIP
NFS1	Q9Y697		hsa-miR-126-5p	0.215504535071616	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
ING1	Q9UK53		hsa-miR-126-5p	0.215470053405813	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
ANKRD20A1	Q5TYW2		hsa-miR-126-5p	0.215390139536339	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6
PTP4A1	Q93096		hsa-miR-126-5p	0.215349249219964	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
PREPL	Q4J6C6		hsa-miR-126-5p	0.214917344812876	6	Medium	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|RNA22
DPH3	Q96FX2		hsa-miR-126-5p	0.214899022647528	5	Medium	MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
DMBX1	Q8NFW5		hsa-miR-126-5p	0.214856084187939	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2
ZNF697	Q5TEC3		hsa-miR-126-5p	0.214845203456731	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
TLX3	O43711		hsa-miR-126-5p	0.214836267362685	3	Medium	Cupid|MirAncesTar|mirzag
C12orf71	A8MTZ7		hsa-miR-126-5p	0.214797408324402	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
PIP4K2C	Q8TBX8		hsa-miR-126-5p	0.214787214901968	5	Medium	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2
BARD1	Q99728		hsa-miR-126-5p	0.214747970904422	5	Medium	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP
GMPPB	Q9Y5P6		hsa-miR-126-5p	0.214702237720507	4	Medium	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6
FAM102B	Q5T8I3		hsa-miR-126-5p	0.214584884096232	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
NPEPPS	P55786		hsa-miR-126-5p	0.214449795828207	5	Medium	Cupid|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
PLEKHF2	Q9H8W4		hsa-miR-126-5p	0.214430211047274	7	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirTar2|mirzag
OSTN	P61366		hsa-miR-126-5p	0.214342689797855	3	Medium	DIANA|miranda_May_2021|mirbase
COPS2	P61201		hsa-miR-126-5p	0.214179993526009	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
PRKAA1	Q13131		hsa-miR-126-5p	0.214135200491165	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget
FCF1	Q9Y324		hsa-miR-126-5p	0.21397866265827	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
OPA1	O60313		hsa-miR-126-5p	0.213924242924681	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
FBXO3	Q9UK99		hsa-miR-126-5p	0.213873203244118	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
TBC1D5	Q92609		hsa-miR-126-5p	0.213855705733318	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
BTBD3	Q9Y2F9		hsa-miR-126-5p	0.213838531247807	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
ZSCAN9	O15535		hsa-miR-126-5p	0.213793544717605	5	Medium	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MirTar2
MYO5C	Q9NQX4		hsa-miR-126-5p	0.213769133280177	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
MARCHF3	Q86UD3		hsa-miR-126-5p	0.213761579021477	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
LPL	P06858		hsa-miR-126-5p	0.213704145024942	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
TP53INP1	Q96A56		hsa-miR-126-5p	0.213691451701217	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
RPA1	P27694		hsa-miR-126-5p	0.213632098033149	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
SIKE1	Q9BRV8		hsa-miR-126-5p	0.2136250454417	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
LMBRD2	Q68DH5		hsa-miR-126-5p	0.213604332953866	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
GPR155	Q7Z3F1		hsa-miR-126-5p	0.213591476103392	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
ACVR2A	P27037		hsa-miR-126-5p	0.213561241200767	5	Medium	Cupid|DIANA|MirAncesTar|MiRNATIP|mirzag
SLIT2	O94813		hsa-miR-126-5p	0.213559310638277	4	Medium	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6
TRIM58	Q8NG06		hsa-miR-126-5p	0.213471930194611	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
CDCA7L	Q96GN5		hsa-miR-126-5p	0.213391992456571	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
DOCK5	Q9H7D0		hsa-miR-126-5p	0.213148377615781	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|MiRNATIP
AMER2	Q8N7J2		hsa-miR-126-5p	0.212977667181071	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6
GLRA3	O75311		hsa-miR-126-5p	0.212888515068684	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
RPS6KA6	Q9UK32		hsa-miR-126-5p	0.212886192877622	5	Medium	MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
LMLN	Q96KR4		hsa-miR-126-5p	0.212831113775175	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
ZCRB1	Q8TBF4		hsa-miR-126-5p	0.212811137218519	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|mirzag
BAZ2B	Q9UIF8		hsa-miR-126-5p	0.212682940578944	6	Medium	bitargeting_May_2021|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|RNA22
PPM1E	Q8WY54		hsa-miR-126-5p	0.212659780470562	6	Medium	MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget|mirzag
PAG1	Q9NWQ8		hsa-miR-126-5p	0.212241313950451	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
RC3H2	Q9HBD1		hsa-miR-126-5p	0.212126360751347	5	Medium	DIANA|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP
ITGA2	P17301		hsa-miR-126-5p	0.212006397289811	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
EPM2AIP1	Q7L775		hsa-miR-126-5p	0.211903471208755	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
ROBO2	Q9HCK4		hsa-miR-126-5p	0.21190087873948	4	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021
UACA	Q9BZF9		hsa-miR-126-5p	0.211542206953045	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
NUDT21	O43809		hsa-miR-126-5p	0.211520007842745	7	Medium	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
ZNF273	Q14593		hsa-miR-126-5p	0.211493316398421	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
CCDC144A	A2RUR9		hsa-miR-126-5p	0.211443300851757	7	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag|RNA22
LDHA	P00338		hsa-miR-126-5p	0.21137662746892	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
CLIP1	P30622		hsa-miR-126-5p	0.211361400503484	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
ANP32E	Q9BTT0		hsa-miR-126-5p	0.211347121572194	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
RTL9	Q8NET4		hsa-miR-126-5p	0.211220023685024	5	Medium	DIANA|MirAncesTar|miranda_May_2021|MirTar2|mirzag
SPACA1	Q9HBV2		hsa-miR-126-5p	0.21113241325148	5	Medium	DIANA|MirAncesTar|miranda_May_2021|mirbase|mirzag
PPP2R3A	Q06190		hsa-miR-126-5p	0.21112797147155	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|RNA22
POLE3	Q9NRF9		hsa-miR-126-5p	0.210959987694859	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
ARX	Q96QS3		hsa-miR-126-5p	0.210955702842689	2	Medium	Cupid|mirzag
NDFIP2	Q9NV92		hsa-miR-126-5p	0.210954042776155	6	Medium	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
GATAD2B	Q8WXI9		hsa-miR-126-5p	0.210939985603435	4	Medium	Cupid|DIANA|MBStar|MirAncesTar
UQCRB	P14927		hsa-miR-126-5p	0.21092288070767	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
TEX12	Q9BXU0		hsa-miR-126-5p	0.21088332033962	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
SRSF2	Q01130		hsa-miR-126-5p	0.210873188602922	6	Medium	DIANA|MirAncesTar|miranda_May_2021|MiRNATIP|MirSNPInTarget|mirzag
WWTR1	Q9GZV5		hsa-miR-126-5p	0.210634567100929	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
OSGIN2	Q9Y236		hsa-miR-126-5p	0.21059998955125	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
GPA33	Q99795		hsa-miR-126-5p	0.210596053846229	4	Medium	DIANA|MirAncesTar|miranda_May_2021|miRDB_v6
POLI	Q9UNA4		hsa-miR-126-5p	0.210573335050946	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP
BBS12	Q6ZW61		hsa-miR-126-5p	0.21051877428436	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2
MFSD8	Q8NHS3		hsa-miR-126-5p	0.210445688601448	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MiRNATIP
CCDC50	Q8IVM0		hsa-miR-126-5p	0.21027324683	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2
KPNA5	O15131		hsa-miR-126-5p	0.210086067091386	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
MON2	Q7Z3U7		hsa-miR-126-5p	0.210064873161432	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
SMG1	Q96Q15		hsa-miR-126-5p	0.210056554762406	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
KCTD16	Q68DU8		hsa-miR-126-5p	0.210000687829683	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
PPIF	P30405		hsa-miR-126-5p	0.209918232569179	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6
SPRYD7	Q5W111		hsa-miR-126-5p	0.209804136280573	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
GSE1	Q14687		hsa-miR-126-5p	0.209790748652412	5	Medium	Cupid|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
FRG2C	A6NGY1		hsa-miR-126-5p	0.209767363338588	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
SAXO2	Q658L1		hsa-miR-126-5p	0.20957016328064	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
IFT57	Q9NWB7		hsa-miR-126-5p	0.209450640723765	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
TYRP1	P17643		hsa-miR-126-5p	0.209427452418045	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|MirSNPInTarget
PHLPP2	Q6ZVD8		hsa-miR-126-5p	0.209295767373041	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirzag
PYROXD1	Q8WU10		hsa-miR-126-5p	0.209285384609915	7	Medium	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|RNA22
ANXA7	P20073		hsa-miR-126-5p	0.209182207027962	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|mirbase|mirzag
MAP3K13	O43283		hsa-miR-126-5p	0.209083514887527	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6
DNAJC18	Q9H819		hsa-miR-126-5p	0.209053234104858	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget
NNT	Q13423		hsa-miR-126-5p	0.20905154266264	6	Medium	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
NCR3LG1	Q68D85		hsa-miR-126-5p	0.209001015764726	4	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021
ACBD5	Q5T8D3		hsa-miR-126-5p	0.208915564425828	5	Medium	bitargeting_May_2021|DIANA|MBStar|MirAncesTar|miranda_May_2021
ZNF217	O75362		hsa-miR-126-5p	0.208748776275352	3	Medium	Cupid|MBStar|MirAncesTar
XKRY	O14609		hsa-miR-126-5p	0.208694670594743	4	Medium	MBStar|MirAncesTar|MirTar2|mirzag
XKRY2	A2RUG3		hsa-miR-126-5p	0.208694670594743	4	Medium	MBStar|MirAncesTar|MirTar2|mirzag
LNPK	Q9C0E8		hsa-miR-126-5p	0.208655112543412	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
SULF1	Q8IWU6		hsa-miR-126-5p	0.208450874703361	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
RNF38	Q9H0F5		hsa-miR-126-5p	0.208406816470808	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
TSC22D2	O75157		hsa-miR-126-5p	0.208400281561423	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP|mirzag
TMEM71	Q6P5X7		hsa-miR-126-5p	0.208242398560291	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|miRDB_v6|mirzag
CFAP97	Q9P2B7		hsa-miR-126-5p	0.208205335528565	6	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
TLR4	O00206		hsa-miR-126-5p	0.207980701238508	5	Medium	MBStar|MirAncesTar|miranda_May_2021|MirTar2|mirzag
AKAP11	Q9UKA4		hsa-miR-126-5p	0.207975724241497	5	Medium	DIANA|MBStar|MirAncesTar|miranda_May_2021|MiRNATIP
ZNF20	P17024		hsa-miR-126-5p	0.207942672824801	5	Medium	DIANA|MirAncesTar|miranda_May_2021|MirSNPInTarget|mirzag
